#{"t_start": 1783461977.9644718, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-319.131842,97,2.130836,-100.0,-3.4710001288220798,0
-346.094697,81,2.308547,-100.0,-4.128623088897648,0
-409.049956,105,2.546628,-100.0,-5.509448295547249,0
-275.312131,107,2.880783,-100.0,-1.9240789080409806,0
3860.696175,1000,6.769188,2.6341585734555273,9.515204555397666,0
-258.16852,94,6.974398,-100.0,-4.749243500664134,0
-133.061777,71,7.136225,-100.0,-0.27453999185726463,0
-259.78675,79,7.307136,-100.0,-0.04665644946866632,0
-440.928816,119,7.580014,-100.0,-3.1738279801552878,0
-163.924375,67,7.738376,-100.0,6.911209591221597,0
-352.403448,99,7.962581,-100.0,-4.699655700920142,0
-394.202509,104,8.207849,-100.0,-3.849162307298755,0
-139.39811,66,9.917677,-100.0,-1.7369588956648125,0
-357.184856,80,10.081717,-100.0,-5.819716751963231,0
-357.15202,83,10.245194,-100.0,-5.3458694199263315,0
-400.590323,107,10.520954,-100.0,-3.3097072786996993,0
-417.286356,107,10.763903,-100.0,-4.654440552656055,0
-525.635661,113,10.994397,-100.0,-8.12058754667327,0
-169.373909,93,11.198338,-100.0,-1.9586031081815847,0
-191.27526,81,11.372653,-100.0,3.3450708358391035,0
-147.917944,85,11.55693,-100.0,9.209167634860423,0
-308.724041,87,11.748946,-100.0,-3.1516162017312297,0
-260.40988,87,11.937941,-100.0,-2.099243532958772,0
-244.542481,123,13.689698,-100.0,3.1804427479274446,0
-289.301935,83,13.867564,-100.0,-3.153960132267483,0
-289.302988,101,14.086766,-100.0,-2.7100868851001905,0
-371.882499,84,14.2674,-100.0,-3.309319814791899,0
-212.583311,63,14.401946,-100.0,-2.679306164036622,0
-335.20689,74,14.559399,-100.0,-4.69806203208189,0
-486.319924,111,14.812512,-100.0,-6.340973571188954,0
-209.595387,81,14.992303,-100.0,-0.9863246511472528,0
-303.092883,118,15.280771,-100.0,-2.9312509940497664,0
-419.689061,97,15.499282,-100.0,-3.88432313600079,0
-462.828146,103,15.713762,-100.0,-4.885473419071378,0
-342.310917,91,17.447815,-100.0,-4.294281282935096,0
-175.29171,62,17.575012,-100.0,-1.8710644408928339,0
-155.983916,65,17.745543,-100.0,-2.270507603045359,0
-155.368277,62,17.919119,-100.0,6.667309700552685,0
-197.816905,105,18.159052,-100.0,3.2626659564835974,0
-348.053321,104,18.41987,-100.0,-2.864460967477413,0
-379.765216,89,18.606911,-100.0,-4.851140062953434,0
-243.160034,71,18.751162,-100.0,-3.236695134160704,0
-308.272164,115,19.016722,-100.0,-0.8912454670433452,0
-316.989948,106,19.247051,-100.0,-0.2745510294623923,0
-315.549004,93,19.448983,-100.0,-4.699697236292992,0
-250.796724,86,19.656921,-100.0,-2.984084995264631,0
-217.550189,78,21.350214,-100.0,5.2063376261217025,0
-430.491924,96,21.561167,-100.0,-5.509099455450865,0
-397.06081,120,21.826122,-100.0,-5.3455110016038,0
-306.956504,137,22.14014,-100.0,2.0622846654621303,0
-172.908639,79,22.327404,-100.0,-2.0984544336590862,0
-328.212233,128,22.615827,-100.0,-3.0118535221123484,0
-248.904337,64,22.767564,-100.0,-4.52643805850499,0
-283.466976,81,22.95562,-100.0,-3.785785396927503,0
