#{"t_start": 1783497712.6842422, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-101.125132,103,2.334728,-100.0,-0.3942524194717407,0
-103.632224,84,2.478855,-100.0,-0.8700295686721802,0
-97.266878,93,2.66968,-100.0,-0.6756168603897095,0
-116.813834,97,2.871905,-100.0,-0.8093741536140442,0
-102.831091,88,3.07605,-100.0,-0.9485962390899658,0
-96.521993,86,3.27787,-100.0,-0.42677316069602966,0
-98.359028,93,3.453979,-100.0,-0.7407460808753967,0
-171.753809,124,3.873505,-100.0,-0.999661922454834,0
-120.941463,107,4.123648,-100.0,0.31075695157051086,0
-77.832345,79,4.280433,-100.0,-0.7124571800231934,0
-83.154263,79,6.040684,-100.0,-0.42455920577049255,0
-75.343789,75,6.190794,-100.0,-0.18367543816566467,0
-72.140307,79,6.346873,-100.0,0.9339065551757812,0
-61.437278,64,6.561083,-100.0,-0.5388263463973999,0
-76.488258,71,6.712256,-100.0,-0.978310227394104,0
-72.589147,76,6.866115,-100.0,-0.3742522895336151,0
-62.741818,62,6.990424,-100.0,-0.7193456292152405,0
-152.491155,116,7.219962,-100.0,-0.9166550040245056,0
-95.548186,86,7.455295,-100.0,-0.7772665023803711,0
-78.996935,75,7.697546,-100.0,-0.8046870231628418,0
-62.006418,59,7.835344,-100.0,-0.9168230295181274,0
-104.073461,87,8.019008,-100.0,-1.422236442565918,0
-61.604763,62,8.152942,-100.0,-0.7103899717330933,0
-159.671133,104,9.7319,-100.0,-1.2892954349517822,0
-119.443403,104,9.908264,-100.0,-0.578290581703186,0
-103.822388,90,10.085995,-100.0,-0.8713496327400208,0
-78.899141,73,10.230218,-100.0,-0.7179877758026123,0
-75.609342,69,10.34063,-100.0,-0.8078575134277344,0
-117.701137,96,10.501577,-100.0,-0.471910685300827,0
-144.131823,113,10.76378,-100.0,-0.7656437754631042,0
-90.31515,84,10.986914,-100.0,-0.8895809054374695,0
-92.48236,87,11.18897,-100.0,-0.06335380673408508,0
-131.235764,116,11.458751,-100.0,-0.5922039151191711,0
-71.548962,67,11.622024,-100.0,-0.724524199962616,0
-147.949761,97,11.830197,-100.0,-1.2410565614700317,0
-143.075139,115,13.37194,-100.0,-0.7786031365394592,0
-118.588975,101,13.597009,-100.0,-0.4928346872329712,0
-59.690203,65,13.712804,-100.0,0.37082532048225403,0
-72.952972,71,13.855626,-100.0,-0.42977169156074524,0
-170.914559,127,14.098145,-100.0,0.11324596405029297,0
-67.651461,60,14.204471,-100.0,-0.6134820580482483,0
-87.893326,84,14.364954,-100.0,-0.22511960566043854,0
-137.195905,117,14.586423,-100.0,-0.47219404578208923,0
-86.358931,84,14.733886,-100.0,-0.4892193377017975,0
-109.105995,90,14.902679,-100.0,-1.1293351650238037,0
-55.169329,58,15.013112,-100.0,-0.694824755191803,0
-110.110993,96,16.693326,-100.0,-0.43297797441482544,0
-138.146423,105,16.878622,-100.0,-0.5343276858329773,0
-57.973997,63,16.99238,-100.0,0.017858117818832397,0
-55.8761,61,17.110705,-100.0,-0.0813319981098175,0
-61.677182,62,17.245157,-100.0,-0.636327862739563,0
-54.91655,61,17.367219,-100.0,0.7687557935714722,0
-89.587719,71,17.494248,-100.0,-0.7596285343170166,0
-77.082189,62,17.605938,-100.0,-0.8755301237106323,0
-53.171386,57,17.714908,-100.0,-0.3582644462585449,0
-90.622365,88,17.890413,-100.0,0.31153902411460876,0
-139.9166,109,18.11147,-100.0,-0.9835014343261719,0
-50.723757,54,18.209699,-100.0,-0.37314724922180176,0
-70.111064,70,18.3338,-100.0,-0.7333065867424011,0
-51.580221,59,18.433153,-100.0,0.9276125431060791,0
-143.612602,106,19.96162,-100.0,0.07157781720161438,0
-99.71784,83,20.102792,-100.0,-0.9406490921974182,0
-105.90683,90,20.253211,-100.0,-0.9023458361625671,0
-159.291502,118,20.468601,-100.0,-1.0835473537445068,0
-153.736056,103,20.670275,-100.0,-1.345750093460083,0
-65.847968,68,20.804466,-100.0,-0.2922608256340027,0
-90.295567,89,20.98778,-100.0,-0.3965859115123749,0
-74.624229,70,21.125141,-100.0,-0.9952675700187683,0
-98.435726,88,21.306509,-100.0,-0.18874868750572205,0
-145.689841,106,21.520975,-100.0,-1.0220321416854858,0
-124.539221,97,21.713339,-100.0,-0.9350419044494629,0
-58.521647,60,21.821558,-100.0,-0.32888272404670715,0
-67.41262,68,23.372878,-100.0,-0.5389818549156189,0
-89.245384,85,23.524683,-100.0,-0.3195060193538666,0
-89.88775,84,23.674364,-100.0,-0.4262625575065613,0
-163.518499,114,23.868368,-100.0,-1.2744345664978027,0
-107.278994,91,24.03017,-100.0,-0.8010565042495728,0
-75.149583,75,24.161871,-100.0,-0.8788872361183167,0
-82.330311,74,24.303379,-100.0,-0.7378561496734619,0
-109.990845,104,24.510351,-100.0,-0.5369710922241211,0
-124.195275,119,24.759197,-100.0,0.2829432487487793,0
-107.787619,92,24.948049,-100.0,-0.665322482585907,0
-127.169887,107,25.169011,-100.0,-0.3753438889980316,0
-113.340293,99,26.895641,-100.0,-0.21044564247131348,0
-77.502028,76,27.064985,-100.0,0.05364103615283966,0
-57.138989,61,27.194077,-100.0,-0.43729984760284424,0
-91.202948,89,27.352997,-100.0,-0.31258833408355713,0
-85.820738,74,27.471364,-100.0,-0.746781051158905,0
-67.258253,67,27.597778,-100.0,-0.8075625896453857,0
-67.997992,71,27.737177,-100.0,-0.20538565516471863,0
-92.097745,77,27.906325,-100.0,-0.8631338477134705,0
-140.331468,102,28.108108,-100.0,-1.2636644840240479,0
-54.897233,61,28.222159,-100.0,0.7520815134048462,0
-51.378819,55,28.320132,-100.0,-0.5165966749191284,0
-74.078735,72,28.451723,-100.0,0.15253004431724548,0
-125.473567,102,28.628207,-100.0,-0.5362657308578491,0
-70.815819,68,30.125835,-100.0,-0.37469959259033203,0
-106.308195,87,30.274342,-100.0,-0.8158184289932251,0
-88.769407,86,30.460188,-100.0,-0.8177109956741333,0
-73.386904,70,30.631714,-100.0,-0.719957172870636,0
-107.757864,97,30.871498,-100.0,-1.0473798513412476,0
-94.588356,79,31.035407,-100.0,-0.8450149297714233,0
-100.589851,86,31.183919,-100.0,-0.7493168711662292,0
-86.69178,81,31.32798,-100.0,-0.36892256140708923,0
-70.821328,84,31.505917,-100.0,-0.14830245077610016,0
-76.846237,67,31.656073,-100.0,-0.7862668633460999,0
-72.639448,69,31.814968,-100.0,-0.7837498188018799,0
-112.444961,82,31.988288,-100.0,-1.3016482591629028,0
-54.332323,56,32.093264,-100.0,-0.5106065273284912,0
-137.454201,103,33.851118,-100.0,-0.8418264389038086,0
-88.622499,82,34.011116,-100.0,-0.05074542760848999,0
-107.077984,89,34.173311,-100.0,-0.25599348545074463,0
-82.987496,72,34.314547,-100.0,-0.8008992671966553,0
-93.061818,85,34.512193,-100.0,-0.20386675000190735,0
-91.050315,81,34.716464,-100.0,-0.28678786754608154,0
-100.038076,90,34.894458,-100.0,-0.404845654964447,0
-80.560601,74,35.021768,-100.0,-0.6830115914344788,0
-111.556756,89,35.187315,-100.0,-1.000864863395691,0
-147.033225,107,35.380288,-100.0,-1.3263541460037231,0
-66.599054,64,35.549211,-100.0,-0.3525659739971161,0
-80.460308,77,35.696887,-100.0,-0.5060474276542664,0
-83.884332,73,35.822424,-100.0,-0.681118369102478,0
-110.624905,94,37.327501,-100.0,-0.7844593524932861,0
-134.151609,94,37.496194,-100.0,-1.32818603515625,0
-92.795937,82,37.643293,-100.0,-0.09303036332130432,0
-58.835521,57,37.747554,-100.0,-0.5752057433128357,0
-105.225146,86,37.89573,-100.0,-0.7879527807235718,0
-60.726384,57,38.009129,-100.0,-0.6232905387878418,0
-72.676183,67,38.128965,-100.0,-0.6633313894271851,0
-65.904414,66,38.247357,-100.0,0.4082370698451996,0
-68.39317,66,38.361522,-100.0,-0.7677105665206909,0
-54.938154,62,38.485994,-100.0,-0.04903501272201538,0
-65.360086,67,38.618363,-100.0,0.9301069974899292,0
-88.520435,75,38.755646,-100.0,-1.0565074682235718,0
-68.660095,66,38.869519,-100.0,-0.6566596627235413,0
-57.155053,53,38.971648,-100.0,-0.3598550856113434,0
-123.116053,96,40.498928,-100.0,-0.8563531041145325,0
-99.671676,86,40.654327,-100.0,-0.5648873448371887,0
-127.086352,88,40.819581,-100.0,-1.3185105323791504,0
-50.923072,54,40.931077,-100.0,-0.29419654607772827,0
-74.416265,67,41.064377,-100.0,-0.91993647813797,0
-70.266236,65,41.208771,-100.0,-0.5988277196884155,0
-78.1951,74,41.372479,-100.0,-0.5871871709823608,0
-85.081326,80,41.522778,-100.0,0.7421663999557495,0
-55.073211,57,41.638452,-100.0,0.10850965976715088,0
-64.487527,62,41.75095,-100.0,-0.7324270606040955,0
-50.452026,54,41.845241,-100.0,-0.46737587451934814,0
-69.41427,82,41.986828,-100.0,-0.12919655442237854,0
-62.140273,88,42.148106,-100.0,-0.4263029098510742,0
-105.267953,83,42.291457,-100.0,-0.6678413152694702,0
-87.320115,78,43.739387,-100.0,-0.2978493571281433,0
-77.996563,75,43.866866,-100.0,0.03161826729774475,0
-93.301961,82,44.00658,-100.0,-0.7325742244720459,0
-77.534767,77,44.130961,-100.0,-0.5217949748039246,0
-52.278596,54,44.243637,-100.0,-0.4667629897594452,0
-112.658021,89,44.398218,-100.0,-0.5835046172142029,0
-59.726071,63,44.507056,-100.0,0.7911758422851562,0
-100.712419,88,44.650705,-100.0,-0.48248347640037537,0
-59.536781,60,44.756069,-100.0,-0.4771811068058014,0
-68.208062,68,44.876849,-100.0,-0.2401597499847412,0
-75.986821,73,45.005996,-100.0,-0.6195548176765442,0
-69.909186,68,45.123494,-100.0,-0.48226919770240784,0
-63.352693,59,45.229136,-100.0,-0.8146983981132507,0
-72.696135,66,45.349546,-100.0,-0.48479264974594116,0
-105.869776,88,46.995744,-100.0,-0.439846396446228,0
-58.310922,59,47.139309,-100.0,-0.05015784502029419,0
-55.69545,55,47.243936,-100.0,-0.8162222504615784,0
-50.710202,53,47.330286,-100.0,-0.5056379437446594,0
-50.171929,52,47.431674,-100.0,-0.6195412278175354,0
-108.721708,83,47.61777,-100.0,-0.6952521800994873,0
-73.429207,70,47.769015,-100.0,-0.7389631867408752,0
-83.402275,77,47.926649,-100.0,-0.36323651671409607,0
-51.568737,53,48.041708,-100.0,-0.5826452374458313,0
-77.507705,74,48.201167,-100.0,-0.612506091594696,0
-104.121105,90,48.366948,-100.0,0.32873809337615967,0
-68.285915,67,48.50158,-100.0,-0.4182223081588745,0
-54.102708,66,48.637853,-100.0,0.10326236486434937,0
-69.866311,68,48.774311,-100.0,-0.5078330636024475,0
-147.996211,116,49.006974,-100.0,-1.0260729789733887,0
-119.010704,98,50.724735,-100.0,-0.1047213077545166,0
-80.925335,67,50.900195,-100.0,-0.667253851890564,0
-73.287098,71,51.068014,-100.0,-0.5295723080635071,0
-56.844596,59,51.208239,-100.0,-0.483664870262146,0
-55.758269,57,51.344391,-100.0,-0.4352363049983978,0
-97.200552,85,51.508416,-100.0,-0.5045240521430969,0
-89.012111,80,51.655523,-100.0,-0.4224964678287506,0
-101.035453,86,51.807313,-100.0,-0.5958144068717957,0
-100.941437,80,51.937627,-100.0,-0.7738305330276489,0
-128.619846,93,52.101142,-100.0,-1.186314582824707,0
-64.460264,64,52.21823,-100.0,-0.04915127158164978,0
-60.502379,61,52.328765,-100.0,-0.5015310645103455,0
-66.168715,67,52.457826,-100.0,0.7636042833328247,0
-60.327026,54,52.550248,-100.0,-0.6579810380935669,0
-94.409301,78,54.113259,-100.0,-0.8885675668716431,0
-71.586587,71,54.254691,-100.0,0.7071903944015503,0
