#{"t_start": 1783337870.6827793, "env_id": "BipedalWalker-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-7.782656,81,3.092256,-100.0,-1.052249201261462,0
-127.21486,137,3.678181,-100.0,-4.3504684696462235,0
-143.351636,146,4.225073,-100.0,-3.0701763475676938,0
-450.60331,1600,9.615271,-0.00042263893286505205,-0.18024977519461785,0
-396.962172,1600,29.413635,-0.026409339547157285,-0.18707020876792163,0
-52.945105,54,29.605291,-100.0,-3.946802610926008,0
-15.798022,70,29.870676,-100.0,-0.6765082511687981,0
-35.775973,64,30.087439,-100.0,-3.0857149333013196,0
-30.646722,98,30.470424,-100.0,-0.7601440017301647,0
-240.683707,1600,50.919317,-0.15922283967335898,-0.2265718896003981,0
-135.397995,85,51.201387,-100.0,-8.982837557766336,0
-19.925562,81,51.485195,-100.0,-0.9491896627482445,0
-228.699363,1600,70.556648,-0.10714214179913677,-0.13097716448997446,0
-205.988248,1600,89.466347,-0.2382175043423994,-0.18002994655574567,0
-208.626314,1600,108.517784,-0.06902886604269583,-0.08443528803672071,0
-200.260219,1600,114.144563,0.03887801218032838,-0.22081334694102922,0
1.96816,68,114.386746,-100.0,-0.3214289959691391,0
-163.527801,1600,134.121453,-0.042119438469409944,-0.03905068816866913,0
-4.127478,73,134.37477,-100.0,-0.1753652247955,0
-10.685539,61,134.592434,-100.0,-0.47559355236224643,0
-77.116658,67,134.806717,-100.0,-2.6723740865476215,0
-179.661139,1600,154.071899,-0.09340105808775104,-0.12967837194320336,0
-9.17715,91,154.381175,-100.0,-0.4978490016455721,0
-8.114005,49,154.615689,-100.0,-0.5027727458266901,0
-151.141939,1600,174.173765,0.024533245623111717,-0.06097781833611553,0
-136.996511,1600,195.245362,-0.008883002340793606,-0.1180730000843406,0
-158.273616,1600,200.797038,-0.12040161162614822,-0.10494335162000108,0
-7.696972,53,201.00677,-100.0,-0.6375868780049065,0
-15.779836,101,215.278687,-100.0,-1.1083044189011881,0
-7.769228,86,215.546494,-100.0,-0.3052744875614297,0
-9.787152,100,215.851857,-100.0,-0.26585015417191415,0
-117.670391,1600,221.352659,-0.22936708009243012,-0.07437056345767122,0
-18.535869,62,221.575092,-100.0,-0.6912032227356121,0
-3.335177,79,221.823754,-100.0,-0.39157068572175147,0
-3.690308,71,236.119367,-100.0,-0.1683948123538491,0
-6.079929,55,236.282841,-100.0,-0.6125707408881227,0
-99.400942,1600,241.650386,0.08879327328005479,-0.07329655611754704,0
-11.506008,69,241.889414,-100.0,-0.5524340726088546,0
-109.02755,1600,261.338339,-0.08362988221645355,-0.06279648493919444,0
-121.664989,1600,280.71783,-0.012254826823867974,-0.17353933286684572,0
-1.806942,74,280.949986,-100.0,-0.33150188872824043,0
-0.827542,60,281.174354,-100.0,-0.1956836172359845,0
-8.336368,49,281.361676,-100.0,-0.4999409372866472,0
-30.630294,79,281.626584,-100.0,-0.45940519014787673,0
-6.779658,57,281.817486,-100.0,-0.35827545211269807,0
-0.949315,72,282.095821,-100.0,-0.15434935087007037,0
-1.631956,121,282.493805,-100.0,-0.08572655200949322,0
-1.581874,51,282.675078,-100.0,-0.5231342156354255,0
-1.183334,82,282.976173,-100.0,-0.23574780909899037,0
-0.873171,68,283.211318,-100.0,-0.1252124708228447,0
-20.800129,89,283.511403,-100.0,-0.5313504747663801,0
-8.260722,47,283.685145,-100.0,-0.16547254598099403,0
-6.224771,57,283.897662,-100.0,-0.12137895246515588,0
-7.325946,69,284.124964,-100.0,-0.2797507810552302,0
-9.519097,50,284.314173,-100.0,-0.43515051023537743,0
-8.463529,240,299.010838,-100.0,-0.255750832615848,0
0.759389,95,299.311638,-100.0,-0.18252868329005856,0
-5.149627,82,299.627594,-100.0,-0.3495697571524585,0
-61.706358,968,302.877134,-100.0,-0.6940659638310719,0
-4.772776,52,303.086552,-100.0,-0.3880884642680149,0
6.00048,75,303.332673,-100.0,-0.16864544137234624,0
-1.324121,62,303.523719,-100.0,-0.15357640863610802,0
-2.69195,67,303.765103,-100.0,-0.2231818117341617,0
-15.587249,45,303.914029,-100.0,-0.920941560139651,0
-12.731715,50,304.08396,-100.0,-0.866531176282152,0
-11.201023,51,304.267814,-100.0,-0.06061576338517541,0
-3.210521,75,304.520654,-100.0,-0.25794466293540724,0
-107.732298,1600,323.892655,0.10856040071447216,-0.012546800803122121,0
-4.265514,47,324.076537,-100.0,-0.2447856742868116,0
-16.214156,65,324.334796,-100.0,-0.4630784573374942,0
-9.884402,78,324.569621,-100.0,-0.5355742279613427,0
-3.895757,63,324.846132,-100.0,-0.39175863706992936,0
-5.619373,58,325.063735,-100.0,-0.27515956455129864,0
-4.69202,63,325.272875,-100.0,-0.23722787142341767,0
-20.934214,76,325.538757,-100.0,-0.4106559035097651,0
-10.402274,48,325.704911,-100.0,-0.5981912731635128,0
-6.050021,53,325.916591,-100.0,-0.18685807437872332,0
-7.150437,68,326.193907,-100.0,-0.4077902960965356,0
-5.388332,74,326.456132,-100.0,-0.7797433745765936,0
2.007344,69,326.690238,-100.0,-0.1467924243278234,0
-31.257648,113,341.262467,-100.0,-1.2800071264562978,0
-4.230959,56,341.446532,-100.0,-0.42045039741781365,0
-2.291555,57,341.634063,-100.0,-0.17664371433160259,0
-7.297118,57,341.835547,-100.0,-0.24371847525529164,0
-3.960581,48,341.99298,-100.0,-0.3492333872432927,0
-4.358106,85,342.350923,-100.0,-0.26900793402065937,0
0.335682,55,342.519286,-100.0,-0.13657266348878924,0
-25.90528,127,342.971946,-100.0,-0.3679281464537961,0
1.611009,72,343.252256,-100.0,-0.11700092692809999,0
1.213596,56,343.465988,-100.0,-0.321332983759398,0
-4.710578,44,343.650714,-100.0,-0.3746651989464573,0
-13.151871,65,343.877392,-100.0,-0.19694943182220412,0
-4.572073,54,344.064041,-100.0,-0.3021443222057361,0
-6.244168,67,344.273499,-100.0,-0.2461935019940394,0
-7.621818,48,344.452222,-100.0,-0.2679214181642853,0
2.140855,122,344.896932,-100.0,-0.1477570297713915,0
-4.584093,157,345.412428,-100.0,-0.16304551783500543,0
-2.464956,44,345.636722,-100.0,-0.19120361333555175,0
-8.170939,110,345.99514,-100.0,-0.22196935051491878,0
3.787946,93,346.313519,-100.0,-0.12282203393739904,0
0.348854,78,346.581403,-100.0,-0.11659614481586317,0
2.513891,118,347.004193,-100.0,-0.12162547057366638,0
-3.176829,58,347.207997,-100.0,-0.5390902362142741,0
-24.445111,94,347.561252,-100.0,-0.4623372896764101,0
-9.680864,125,347.988108,-100.0,-0.19718481370592472,0
-12.822277,107,362.094443,-100.0,-0.19327171987075004,0
-4.098945,62,362.308183,-100.0,-0.32967716190511687,0
-7.604443,166,362.931825,-100.0,-0.23819092117332902,0
-2.043362,51,363.130677,-100.0,-0.2688849364323802,0
-3.919203,48,363.303293,-100.0,-0.3386104050726018,0
-0.905578,56,363.523468,-100.0,-0.2882717956739012,0
-6.560627,72,363.811204,-100.0,-0.7782426648569702,0
-3.076618,55,364.014114,-100.0,-0.21446024826819116,0
-12.147843,77,364.355261,-100.0,-0.8657550864246754,0
-7.834912,94,364.784589,-100.0,-0.3890349500436976,0
-10.472959,36,364.950491,-100.0,-0.8065035191983216,0
-7.291409,63,365.198182,-100.0,-0.15368776603749967,0
-7.389209,68,365.474385,-100.0,-0.7042265678695444,0
-2.95409,60,365.74423,-100.0,-0.3173079708951783,0
-6.688733,82,366.102441,-100.0,-0.6635644477716458,0
4.546831,106,366.530222,-100.0,-0.19926465843554997,0
-3.735091,63,366.763692,-100.0,-0.1962169511237458,0
-4.678119,40,366.916519,-100.0,-0.24563579233168925,0
0.242912,63,367.126134,-100.0,-0.6493251580224914,0
-4.610353,54,367.339681,-100.0,-0.7410553025236564,0
-4.217056,69,367.591538,-100.0,-0.40857785310794387,0
-5.559698,91,367.913862,-100.0,-0.27614378740483864,0
-0.477315,78,368.217937,-100.0,-0.17654169624585583,0
-2.350644,95,368.604144,-100.0,-0.33888132474590127,0
-1.101386,56,368.865391,-100.0,-0.16017731370425853,0
-3.818414,72,369.128999,-100.0,-0.2044609088358431,0
2.139078,70,369.411183,-100.0,-0.40321836378048037,0
-20.092179,81,369.739184,-100.0,-0.21644378252864022,0
-7.484363,63,370.006122,-100.0,-0.25439998060305047,0
-10.470148,54,384.17815,-100.0,-0.7988824615558332,0
1.74461,71,384.471338,-100.0,-0.12725665074108572,0
2.757526,71,384.739745,-100.0,-0.12444433539396191,0
-3.922776,44,384.914625,-100.0,-0.21937017604767517,0
-2.036001,63,385.16253,-100.0,-0.23096844092460356,0
-27.106125,91,385.597048,-100.0,-1.2865492048960627,0
-11.903814,78,385.863515,-100.0,-0.7604272433399559,0
-16.002345,85,386.236025,-100.0,-0.2748418345828767,0
4.014964,81,386.520271,-100.0,-0.14598493603527457,0
-8.868743,74,386.806293,-100.0,-0.547934779204785,0
3.414578,58,387.021959,-100.0,-0.16657717830619978,0
-11.89893,64,387.29595,-100.0,-0.05957868295991855,0
-2.45444,84,387.596563,-100.0,-0.28275864868459644,0
-7.091598,62,387.825474,-100.0,-0.48161021106150603,0
-3.306947,91,388.210402,-100.0,-0.18718903244161805,0
-6.977582,41,388.369787,-100.0,-0.36547167398768887,0
-7.435386,107,388.767467,-100.0,-0.27295033169872607,0
4.361316,115,389.303579,-100.0,-0.2335863087856562,0
3.473933,62,389.527533,-100.0,-0.16689098785361292,0
4.792556,70,389.805687,-100.0,-0.08304136433143014,0
3.591616,71,390.071897,-100.0,-0.5011803993223957,0
-2.089598,61,390.32803,-100.0,-0.3342134566729559,0
-5.073036,45,390.514488,-100.0,-0.17976475187086854,0
-0.725285,53,390.699239,-100.0,-0.2341094658258519,0
-3.603104,77,391.05929,-100.0,-0.1311606138812385,0
3.171683,96,391.434177,-100.0,-0.19347106698814387,0
-9.103544,39,391.582833,-100.0,-0.6953812667841387,0
-8.148205,40,391.74019,-100.0,-0.5259260925841491,0
2.46742,90,392.130555,-100.0,-0.17201139816072084,0
-5.09766,42,406.205799,-100.0,-0.2059710407166995,0
0.254215,58,406.456129,-100.0,-0.28997049775821343,0
-1.65107,51,406.646274,-100.0,-0.1660154224323463,0
2.463031,77,406.94115,-100.0,-0.10489563145397669,0
-5.0811,44,407.128697,-100.0,-0.3180261144971791,0
-1.930316,46,407.324113,-100.0,-0.21752514660520886,0
-0.348401,51,407.524422,-100.0,-0.3440273122297708,0
-7.744347,43,407.672979,-100.0,-0.2533192992357356,0
-4.233887,68,407.919709,-100.0,-0.6044319021948492,0
-1.003569,74,408.214088,-100.0,-0.18032270325787095,0
0.24693,65,408.552275,-100.0,-0.1802203065014181,0
1.256512,56,408.787862,-100.0,-0.21809940912380854,0
-3.048113,51,408.977459,-100.0,-0.2769800288006541,0
-3.296929,46,409.162405,-100.0,-0.12618879742553102,0
-7.228546,40,409.314433,-100.0,-0.4914579831651925,0
-1.553673,58,409.552822,-100.0,-0.2511181727699043,0
1.875278,74,409.880101,-100.0,-0.31135464902980825,0
-3.946451,64,410.106042,-100.0,-0.9379687533952119,0
-5.718943,70,410.386558,-100.0,-0.36277363819205355,0
-0.49486,57,410.63094,-100.0,-0.14276769202840603,0
-0.944419,58,410.876553,-100.0,-0.18951558398504043,0
4.436825,60,411.19669,-100.0,-0.12355502850682079,0
2.539931,73,411.505063,-100.0,-0.15227139443621998,0
-3.499589,47,411.718725,-100.0,-0.20702242306951218,0
-1.145178,59,411.95307,-100.0,-0.1761509371843054,0
-0.060718,102,412.333098,-100.0,-0.3382606358979534,0
-5.295749,150,412.931037,-100.0,-0.4880660424098886,0
-0.096015,73,413.260389,-100.0,-0.1619996201913596,0
-1.570258,60,413.494735,-100.0,-0.14362171543236885,0
2.721618,80,413.834397,-100.0,-0.12276120157576263,0
-1.948907,110,414.274297,-100.0,-0.1539907927285977,0
-18.62622,68,428.445433,-100.0,-0.460706075690304,0
-0.615488,59,428.6856,-100.0,-0.1787030419090903,0
4.124752,80,428.983559,-100.0,-0.2406485588037779,0
-2.913519,56,429.202245,-100.0,-0.2536159788104356,0
-3.556201,40,429.413856,-100.0,-0.1611047873863654,0
-0.149183,66,429.695221,-100.0,-0.18202748517370587,0
1.711143,93,430.028999,-100.0,-0.19226806543150668,0
-1.286818,48,430.201674,-100.0,-0.3778551603129122,0
-10.352985,40,430.367877,-100.0,-0.179174148291117,0
-16.412218,446,432.123832,-100.0,-0.28591396170597494,0
-3.85003,44,432.294431,-100.0,-0.23151683851813526,0
7.467581,69,432.561711,-100.0,-0.16280461216428355,0
-11.459573,66,432.832929,-100.0,-0.29097649603009346,0
-6.200425,44,433.008125,-100.0,-0.32766628681457816,0
-2.694275,65,433.248594,-100.0,-0.2154525379029854,0
2.855105,67,433.486914,-100.0,-0.1941639514765605,0
-3.855779,60,433.69732,-100.0,-0.348235874240966,0
-2.593099,67,433.942822,-100.0,-0.26280325086948425,0
0.7598,76,434.211891,-100.0,-0.2153639953668015,0
2.843724,80,434.525915,-100.0,-0.1421312977239183,0
-5.423685,39,434.684056,-100.0,-0.13357509792370295,0
5.703786,111,435.096306,-100.0,-0.14482215075084268,0
-5.360366,45,435.273932,-100.0,-0.18057516710619984,0
-0.847486,75,435.575985,-100.0,-0.16071345522955008,0
2.619501,92,435.95375,-100.0,-0.11273203525730771,0
-19.648558,109,436.404047,-100.0,-0.3443422798127123,0
-16.914303,68,450.77633,-100.0,-0.2660275243810518,0
-6.898569,43,450.963897,-100.0,-0.6338409951780872,0
2.247174,73,451.278509,-100.0,-0.12418244482721705,0
-4.27161,82,451.582726,-100.0,-0.4989850552138805,0
3.791527,60,451.817926,-100.0,-0.16964683129920285,0
0.397567,77,452.136143,-100.0,-0.5063173328136734,0
1.917786,161,452.766777,-100.0,-0.5947914763602081,0
-4.241679,48,452.945565,-100.0,-0.2778775891781393,0
-0.314973,59,453.173496,-100.0,-0.2188311600517568,0
-1.118789,68,453.433216,-100.0,-0.3136091655835205,0
0.357307,50,453.664228,-100.0,-0.11152803155514637,0
-15.582242,63,453.918852,-100.0,-0.2140974793716314,0
1.535567,101,454.368095,-100.0,-0.23041619680697703,0
3.27568,65,454.609374,-100.0,-0.07029658991889964,0
-5.736967,74,454.883692,-100.0,-0.1363720339487235,0
-1.559506,59,455.099663,-100.0,-0.3453197146243755,0
-1.959561,67,455.38008,-100.0,-0.2550789273664461,0
3.878902,74,455.641054,-100.0,-0.12757275192542022,0
2.395231,76,455.925259,-100.0,-0.23730756443775636,0
-7.68098,191,456.633703,-100.0,-0.20897259519396577,0
-1.947307,47,456.82515,-100.0,-0.21693569082742303,0
-0.340846,56,457.078417,-100.0,-0.11977830874975755,0
-3.691558,60,457.32896,-100.0,-0.23949407361706843,0
7.136617,81,457.645971,-100.0,-0.14216347280016078,0
-3.666756,78,457.955436,-100.0,-0.29183783749795295,0
-2.085427,54,458.161481,-100.0,-0.19162736937530617,0
-0.396833,52,458.378878,-100.0,-0.17631601856035573,0
1.138981,52,458.581469,-100.0,-0.13454287777412136,0
-2.340514,59,474.034496,-100.0,-0.42613695680301344,0
1.86402,64,474.331798,-100.0,-0.18245414972294877,0
3.271067,63,474.586258,-100.0,-0.06086657241313177,0
0.482828,61,474.841698,-100.0,-0.18104335734264992,0
-23.375906,86,475.18071,-100.0,-0.5657913480354112,0
-23.160685,74,475.490806,-100.0,-0.8914664552542888,0
-3.067627,61,475.727875,-100.0,-0.450651394515036,0
-2.409299,44,475.867174,-100.0,-0.1726801612266422,0
1.452925,45,476.02632,-100.0,-0.28679275453915765,0
-4.521279,55,476.251447,-100.0,-0.2815743050260461,0
2.7646,109,476.652488,-100.0,-0.2709165490067216,0
