#{"t_start": 1782788941.147574, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-9.424214,112,1.501327,-100.0,-0.2228994220495224,0
-1.775625,115,1.659098,-100.0,-0.22069984674453735,0
-10.947175,114,1.816163,-100.0,-0.051302220672369,0
-1.787066,109,1.9788,-100.0,0.1376352161169052,0
-16.275477,115,2.151142,-100.0,-0.4169393479824066,0
-6.118617,86,2.275144,-100.0,-0.16007153689861298,0
-4.271113,128,2.467992,-100.0,-0.18498221039772034,0
1.240258,92,2.619529,-100.0,0.1453784555196762,0
-5.590875,69,2.72207,-100.0,-0.24814993143081665,0
0.536936,58,2.815807,-100.0,-0.2686542272567749,0
-5.017553,84,4.04618,-100.0,-0.05442144721746445,0
-1.060743,77,4.168141,-100.0,-0.134895458817482,0
-6.34303,110,4.33749,-100.0,-0.1291513442993164,0
-3.529978,105,4.53542,-100.0,-0.1156032532453537,0
-7.587439,103,4.753539,-100.0,-0.16887633502483368,0
-1.327733,91,4.923922,-100.0,-0.09991510212421417,0
-1.691095,62,5.016654,-100.0,-0.28170955181121826,0
-2.705708,82,5.176831,-100.0,-0.026323359459638596,0
-1.44298,86,5.334852,-100.0,-0.2539902627468109,0
-6.513201,71,5.445566,-100.0,-0.3020465075969696,0
-12.703587,134,5.654652,-100.0,-0.2850557863712311,0
1.146715,61,6.845209,-100.0,-0.27500930428504944,0
-6.086441,77,6.959343,-100.0,-0.07352979481220245,0
-11.348851,77,7.070429,-100.0,-0.40671953558921814,0
0.536715,61,7.169718,-100.0,-0.2523919641971588,0
-3.150735,68,7.265138,-100.0,-0.10545872151851654,0
0.62616,70,7.370721,-100.0,-0.265303373336792,0
-0.636156,92,7.498653,-100.0,-0.2701571583747864,0
-13.453683,96,7.640251,-100.0,-0.52162766456604,0
-16.905658,116,7.81627,-100.0,-0.35839879512786865,0
-4.00392,80,7.929917,-100.0,-0.38524049520492554,0
-17.113677,112,8.088746,-100.0,-0.5106450915336609,0
0.672752,83,8.213839,-100.0,0.1996980458498001,0
