#{"t_start": 1783514228.7594793, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
46.725333,100,3.878389,-100.0,0.7023399491030339,0
48.568875,90,4.171587,-100.0,0.6850290188205783,0
31.740377,64,4.496015,-100.0,0.3666188341436505,0
42.807026,96,4.846136,-100.0,1.1083263725422736,0
27.439539,62,5.093453,-100.0,0.485922138430537,0
27.254199,90,5.457047,-100.0,0.2586272630730315,0
33.357835,61,5.664747,-100.0,0.5984967030875192,0
33.988272,61,5.883185,-100.0,0.4910839528062104,0
53.708977,114,6.173144,-100.0,0.5892644617222593,0
27.427018,60,6.412629,-100.0,0.20623383689860092,0
39.205468,67,6.6515,-100.0,1.1687979431145088,0
37.30503,76,6.977979,-100.0,0.4441407447769995,0
41.494104,89,8.729491,-100.0,0.5555229209117157,0
39.98685,71,8.881371,-100.0,0.785986104346992,0
50.840888,104,9.093234,-100.0,0.4096658334297498,0
45.466101,104,9.310642,-100.0,0.30747998125557324,0
53.520716,136,9.621372,-100.0,0.37578057297927525,0
37.065956,75,9.927563,-100.0,0.3255049400482089,0
47.107287,102,10.200089,-100.0,0.5069155819870529,0
47.361273,104,10.514688,-100.0,0.43082891905938636,0
42.669223,81,10.774834,-100.0,0.5468422867224426,0
50.65341,101,11.294587,-100.0,0.7440613903951514,0
34.288646,96,11.506217,-100.0,0.3327724864839352,0
33.653521,102,13.386223,-100.0,0.3029148412605204,0
35.491571,91,13.578839,-100.0,0.11271248363265424,0
47.040442,107,13.987067,-100.0,0.28003521606967446,0
43.594326,129,14.397495,-100.0,-0.03904250846230295,0
41.720411,79,14.634217,-100.0,0.6500814493516414,0
36.198775,96,14.941225,-100.0,0.306558484138556,0
45.170319,90,15.157422,-100.0,0.612167375393722,0
24.666857,80,15.462898,-100.0,0.1986812085127495,0
29.949498,61,15.615709,-100.0,0.41016743616257056,0
46.345997,107,15.945827,-100.0,0.3087112640174259,0
47.174257,125,16.316121,-100.0,0.2715352913885234,0
34.010376,62,18.805617,-100.0,0.8951922666759775,0
63.836365,129,19.293308,-100.0,0.6713038787386107,0
33.716635,104,19.55582,-100.0,0.3162531856712779,0
38.319602,71,19.716441,-100.0,0.6196487906194172,0
39.365454,94,19.956807,-100.0,0.6384695704049214,0
28.187021,57,20.108023,-100.0,0.5722105588828832,0
50.24818,133,20.439101,-100.0,0.14423490973309933,0
45.57902,92,20.6334,-100.0,0.33955773469061445,0
40.349561,110,21.085432,-100.0,0.134564785183386,0
3678.035402,1000,25.926174,-0.40799783813279755,7.894048752879162,0
54.277068,99,26.184448,-100.0,2.487779684400778,0
53.966387,86,26.385638,-100.0,7.349886786030434,0
89.561954,198,29.159211,-100.0,0.7364690516436416,0
66.340528,102,29.375026,-100.0,8.433266674140006,0
39.647592,73,29.57584,-100.0,1.09167096648964,0
68.196525,141,30.162605,-100.0,0.280882153547624,0
52.874348,110,30.543251,-100.0,0.3552538898961709,0
23.610142,78,30.78167,-100.0,0.1846966878107749,0
58.987904,104,31.084257,-100.0,4.3296999521583,0
45.24588,116,31.335877,-100.0,0.19811597797111852,0
37.68716,81,31.589802,-100.0,0.5282471857100164,0
51.764709,112,34.056148,-100.0,0.45131154613957136,0
38.005417,77,34.273426,-100.0,0.47899447051640875,0
63.270901,160,34.851796,-100.0,0.49723930296103924,0
58.307141,148,35.3033,-100.0,0.37988168738068273,0
40.441399,88,35.511267,-100.0,0.3114485724905539,0
57.459634,138,35.839994,-100.0,0.5768102981343665,0
42.65512,81,36.023992,-100.0,0.4337410284667535,0
40.632204,73,36.250133,-100.0,0.551616888592263,0
45.346795,99,36.487459,-100.0,0.33389443155097376,0
47.874757,106,38.71583,-100.0,0.5497343902582361,0
44.638904,83,38.927827,-100.0,0.5648548674706387,0
89.01461,235,39.482771,-100.0,0.48414047555334777,0
71.682345,180,39.91432,-100.0,0.3628759072178338,0
43.974555,108,40.141191,-100.0,0.3460235161252547,0
41.8821,89,40.314548,-100.0,0.468558681345341,0
46.094086,101,40.801513,-100.0,0.30496902686175287,0
