#{"t_start": 1782723067.3792005, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-20.490819,109,1.466654,-100.0,1.9094579219818115,0
-24.258005,70,1.540063,-100.0,-1.6097185611724854,0
-50.704072,84,1.627928,-100.0,-1.1005864143371582,0
-40.662122,93,1.722574,-100.0,-0.9033727049827576,0
-44.749501,137,1.872661,-100.0,-0.321521520614624,0
-81.862933,89,1.963787,-100.0,-2.703674554824829,0
-81.17821,112,2.073496,-100.0,-1.5580766201019287,0
-25.346771,90,2.168772,-100.0,-1.5819345712661743,0
-29.408894,95,2.276534,-100.0,-1.2718346118927002,0
-56.130165,116,2.403397,-100.0,-0.7385379076004028,0
-26.750968,102,3.278816,-100.0,-1.4389370679855347,0
-42.808005,61,3.359018,-100.0,-2.046937942504883,0
-33.378463,121,3.480905,-100.0,-0.18385076522827148,0
-47.369335,110,3.584256,-100.0,-0.42818260192871094,0
-82.19321,125,3.698424,-100.0,-1.6427898406982422,0
-49.630235,112,3.861306,-100.0,-1.3999220132827759,0
-29.586874,107,3.999859,-100.0,-1.5004725456237793,0
-80.51988,101,4.099382,-100.0,-1.7127982378005981,0
-27.833717,78,4.180275,-100.0,-0.9282670021057129,0
-28.916491,71,4.249202,-100.0,-1.5235402584075928,0
-34.846232,77,5.21014,-100.0,-0.6562050580978394,0
-36.694019,122,5.373847,-100.0,-0.8203730583190918,0
-95.921002,134,5.519084,-100.0,-1.786069393157959,0
-32.966496,116,5.633335,-100.0,-1.3278864622116089,0
-49.370284,87,5.717468,-100.0,-1.4796092510223389,0
-24.797562,83,5.803264,-100.0,-0.22865453362464905,0
-27.866991,60,5.862583,-100.0,-0.9010666012763977,0
-75.3073,137,6.138407,-100.0,-1.6452860832214355,0
-82.30196,135,6.359185,-100.0,-0.5885084867477417,0
-35.861833,86,6.455484,-100.0,-1.696293830871582,0
-36.220896,61,7.473123,-100.0,-0.6012312173843384,0
-68.657931,98,7.567467,-100.0,-1.1944350004196167,0
-24.507268,77,7.636357,-100.0,-1.2902545928955078,0
-37.064792,105,7.734348,-100.0,-0.7637042999267578,0
-66.707817,126,7.855896,-100.0,-1.808973789215088,0
-30.970022,86,7.947401,-100.0,-1.3657814264297485,0
-28.642646,81,8.024158,-100.0,-0.7883434295654297,0
-20.189661,92,8.113202,-100.0,1.8888386487960815,0
-46.803125,92,8.209549,-100.0,-1.5029056072235107,0
-45.491933,66,8.274564,-100.0,-1.9158928394317627,0
-42.010138,73,8.349839,-100.0,-1.1694852113723755,0
-26.835372,60,8.407195,-100.0,-0.7763512134552002,0
-57.443724,112,9.283695,-100.0,-0.6844943165779114,0
-38.310073,66,9.349439,-100.0,-1.7659907341003418,0
-64.486971,93,9.438078,-100.0,-1.852209448814392,0
-68.098226,98,9.531445,-100.0,-1.6975393295288086,0
-26.72399,87,9.615953,-100.0,-1.403254508972168,0
-26.995438,108,9.715628,-100.0,-0.06319792568683624,0
-31.558204,89,9.795043,-100.0,-1.4217770099639893,0
-35.08749,71,9.866862,-100.0,-1.101212978363037,0
-34.457295,74,9.93836,-100.0,-1.1689757108688354,0
-46.729935,80,10.009442,-100.0,-1.7006912231445312,0
-43.250496,97,10.10198,-100.0,-1.3389997482299805,0
-66.385433,110,10.956291,-100.0,-1.7457866668701172,0
-63.815686,124,11.07576,-100.0,-2.264932155609131,0
-41.839202,76,11.155876,-100.0,-0.23526450991630554,0
-84.136185,100,11.261684,-100.0,-1.7056063413619995,0
-40.159967,59,11.320698,-100.0,-1.0079118013381958,0
-46.145159,94,11.410311,-100.0,-1.6391161680221558,0
-39.007449,76,11.483596,-100.0,-1.147761583328247,0
-31.629532,120,11.601005,-100.0,-0.66089928150177,0
-31.959106,97,11.692544,-100.0,-1.1987862586975098,0
-27.16041,121,11.808804,-100.0,1.86577570438385,0
-40.771265,93,11.902479,-100.0,-0.3002587854862213,0
-80.450432,123,12.752393,-100.0,-2.028104305267334,0
-32.513864,106,12.85131,-100.0,-1.249182105064392,0
-44.531475,92,12.932775,-100.0,-1.4742686748504639,0
-40.749224,70,12.994473,-100.0,-0.6383679509162903,0
-28.577789,96,13.083606,-100.0,-1.4627286195755005,0
-22.989302,58,13.143473,-100.0,-1.6368368864059448,0
-23.249812,108,13.248815,-100.0,-1.2883610725402832,0
-57.56539,98,13.340698,-100.0,-0.8970849514007568,0
-62.926929,136,13.472287,-100.0,-1.3300259113311768,0
-50.551825,127,13.592227,-100.0,-0.8696981072425842,0
-33.392011,73,14.488637,-100.0,-1.2413955926895142,0
-27.853943,66,14.554232,-100.0,-2.0317742824554443,0
