Using cpu device
---------------------------------
| rollout/           |          |
|    ep_len_mean     | 398      |
|    ep_rew_mean     | -2.08    |
|    success_rate    | 0        |
| time/              |          |
|    fps             | 3717     |
|    iterations      | 1        |
|    time_elapsed    | 3        |
|    total_timesteps | 12288    |
---------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 399          |
|    ep_rew_mean          | -1.8         |
|    success_rate         | 0            |
| time/                   |              |
|    fps                  | 2678         |
|    iterations           | 2            |
|    time_elapsed         | 9            |
|    total_timesteps      | 24576        |
| train/                  |              |
|    approx_kl            | 0.0105421245 |
|    clip_fraction        | 0.12         |
|    clip_range           | 0.2          |
|    entropy_loss         | -2.83        |
|    explained_variance   | 0.0992       |
|    learning_rate        | 0.0003       |
|    loss                 | 14.4         |
|    n_updates            | 10           |
|    policy_gradient_loss | -0.00409     |
|    std                  | 0.99         |
|    value_loss           | 5.6          |
------------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 399         |
|    ep_rew_mean          | -0.35       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 2499        |
|    iterations           | 3           |
|    time_elapsed         | 14          |
|    total_timesteps      | 36864       |
| train/                  |             |
|    approx_kl            | 0.012737102 |
|    clip_fraction        | 0.165       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.748       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00125     |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0124     |
|    std                  | 0.974       |
|    value_loss           | 0.172       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 400         |
|    ep_rew_mean          | 0.618       |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 2341        |
|    iterations           | 4           |
|    time_elapsed         | 20          |
|    total_timesteps      | 49152       |
| train/                  |             |
|    approx_kl            | 0.009277543 |
|    clip_fraction        | 0.117       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.79       |
|    explained_variance   | 0.814       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.00577     |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0116     |
|    std                  | 0.976       |
|    value_loss           | 0.103       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 400         |
|    ep_rew_mean          | 3.24        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 2267        |
|    iterations           | 5           |
|    time_elapsed         | 27          |
|    total_timesteps      | 61440       |
| train/                  |             |
|    approx_kl            | 0.009741546 |
|    clip_fraction        | 0.112       |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.78       |
|    explained_variance   | 0.775       |
|    learning_rate        | 0.0003      |
|    loss                 | 0.0257      |
|    n_updates            | 40          |
|    policy_gradient_loss | -0.00923    |
|    std                  | 0.97        |
|    value_loss           | 0.131       |
-----------------------------------------
-----------------------------------------
| rollout/                |             |
|    ep_len_mean          | 400         |
|    ep_rew_mean          | 3.84        |
|    success_rate         | 0           |
| time/                   |             |
|    fps                  | 2220        |
|    iterations           | 6           |
|    time_elapsed         | 33          |
|    total_timesteps      | 73728       |
| train/                  |             |
|    approx_kl            | 0.008070615 |
|    clip_fraction        | 0.0938      |
|    clip_range           | 0.2         |
|    entropy_loss         | -2.78       |
|    explained_variance   | 0.873       |
|    learning_rate        | 0.0003      |
|    loss                 | -0.0148     |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0068     |
|    std                  | 0.967       |
|    value_loss           | 0.0658      |
-----------------------------------------
------------------------------------------
| rollout/                |              |
|    ep_len_mean          | 400          |
