#{"t_start": 1783151413.057922, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
3.250186,109,1.571366,-100.0,1.9909526575881422,0
1.220518,70,1.674732,-100.0,-0.00945921503691749,0
0.89457,84,1.80524,-100.0,1.4424196379275549e-05,0
0.667877,93,1.93206,-100.0,3.847940622045713e-05,0
0.955337,137,2.122272,-100.0,-0.0020528340173675006,0
0.312724,89,2.239247,-100.0,-0.022803917853853217,0
0.157042,112,2.38829,-100.0,-0.022248695625458226,0
1.165769,90,2.507059,-100.0,-0.009275912635347099,0
1.151008,95,2.63877,-100.0,-0.0069562267804803325,0
0.397614,116,2.791665,-100.0,-0.011039279672347089,0
1.287754,99,3.93102,-100.0,-0.015209357038385253,0
0.107368,105,4.14557,-100.0,-0.006085188582675214,0
1.051948,92,4.36335,-100.0,-0.007275513116134419,0
3.092209,87,4.503103,-100.0,1.9947329004385623,0
1.017264,125,4.696465,-100.0,-0.01312092238293681,0
3.155902,69,4.801182,-100.0,1.9913788114901403,0
0.710093,134,5.04198,-100.0,-0.006914016620137698,0
3.249168,87,5.159678,-100.0,1.992263899945971,0
0.751284,76,5.259986,-100.0,-0.01553713903636103,0
3.259221,97,5.412799,-100.0,1.993021361912238,0
1.198865,139,6.517441,-100.0,-0.006181108657839995,0
1.066794,65,6.603083,-100.0,-0.00928466687162664,0
0.649755,73,6.703646,-100.0,-0.012617887547207263,0
1.183605,90,6.822357,-100.0,0.00019393606078792333,0
3.254602,69,6.911661,-100.0,1.9894442513239103,0
0.74046,101,7.041973,-100.0,-0.007232260095013073,0
0.656719,66,7.167381,-100.0,-0.01608614406906105,0
0.753205,73,7.33332,-100.0,-0.009245851632091028,0
1.064254,85,7.478416,-100.0,0.002486966351443659,0
1.189717,70,7.570744,-100.0,-0.0029726020922900896,0
0.360707,112,7.721429,-100.0,-0.00477028748246934,0
1.28018,104,7.863336,-100.0,-0.011556955697417933,0
0.124837,94,8.902686,-100.0,-0.018692918903895146,0
1.201084,58,8.979264,-100.0,-0.006271316839500989,0
1.272425,63,9.066659,-100.0,-0.0020809163005293648,0
0.495068,115,9.227204,-100.0,-0.006426506371210915,0
1.015337,80,9.34771,-100.0,-0.00014568784792362257,0
0.742655,88,9.505473,-100.0,-0.009584071526557342,0
0.722778,95,9.692733,-100.0,-0.004836722774330155,0
0.723878,74,9.804788,-100.0,0.0020641446340419686,0
3.216365,60,9.900158,-100.0,1.9905799267740933,0
0.669751,83,10.027464,-100.0,-0.017421057175107113,0
1.195049,59,10.116143,-100.0,-0.010772867207661248,0
0.778656,58,10.275381,-100.0,-0.01085595486900253,0
0.967315,100,10.413297,-100.0,-0.009193692572613875,0
