#{"t_start": 1783048975.1188362, "env_id": "CartPole-v1"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-0.111124,22,1.644701,1.0,-0.01312951722741127,0
-0.137513,21,1.768426,1.0,-0.018939756110310554,0
-0.103539,30,1.902254,1.0,-0.02720672976970673,0
-0.12805,20,1.9319,1.0,-0.02425336009263992,0
-0.095621,25,2.051111,1.0,-0.007135977968573571,0
-0.075871,32,2.190612,1.0,-0.016940461891703305,0
-0.036712,38,2.352371,1.0,-0.00915682342648506,0
0.001523,47,2.594393,1.0,-0.010817432627081871,0
0.17018,142,3.189816,1.0,-0.00937326580286026,0
0.148228,142,3.843145,1.0,-0.007287356190383436,0
0.917903,289,5.082677,1.0,0.0016094450652599335,0
2.273573,500,7.085439,1.0,0.0008674042746424672,0
2.036436,500,9.399212,1.0,-6.285458058118837e-05,0
2.143804,500,11.628089,1.0,0.0024825923275202514,0
2.373308,500,13.655676,1.0,0.01126663086633198,0
2.258444,500,15.771902,1.0,0.002843209486454725,0
2.257627,500,17.844843,1.0,0.006696648925542831,0
2.223095,500,19.968776,1.0,0.01059219801715517,0
2.395296,500,22.121208,1.0,-0.0005246204706490978,0
2.297888,500,24.176179,1.0,0.004285102501511574,0
2.359803,500,26.302797,1.0,0.001311609246768057,0
2.34237,500,28.447111,1.0,0.007936178464442492,0
2.339232,500,30.556381,1.0,0.004206547450274229,0
2.271405,500,32.677555,1.0,0.0058215840274933725,0
2.289602,500,34.782465,1.0,0.007490217935293914,0
2.36798,500,36.886962,1.0,0.00760608977964148,0
2.399967,500,39.038333,1.0,-0.0004017615516204382,0
2.377584,500,41.111009,1.0,0.008146831882884727,0
2.313359,500,43.253886,1.0,0.007943065574392677,0
2.184366,500,45.535272,1.0,0.004830027377931401,0
2.229506,500,47.848162,1.0,0.005017917079851031,0
2.321396,500,50.153349,1.0,0.008548592046950944,0
2.371051,500,52.652475,1.0,0.009466411292625708,0
2.261337,500,55.001791,1.0,0.0064331003818660975,0
