#{"t_start": 1783202771.8408344, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
0.609158,114,2.346513,-100.0,-0.007155036019940969,0
3.368593,82,2.496384,-100.0,0.13475911659645542,0
3.007353,97,2.685828,-100.0,0.003545250000332872,0
1.178533,65,2.836456,-100.0,-0.07286944261421649,0
3.160428,90,3.058402,-100.0,-0.03851686351139618,0
596.021194,1000,7.097639,-0.32311540971809793,1.2356292120532417,0
3.264561,129,7.417275,-100.0,-0.029835419314925296,0
1.043288,98,7.656817,-100.0,-0.07795663337331019,0
4.262859,77,7.845211,-100.0,-0.021564099208409956,0
2.049564,115,8.103894,-100.0,-0.0014586133113175124,0
3.125154,105,8.361362,-100.0,-0.01735985722546983,0
2.07196,102,10.222851,-100.0,-0.07691230123650886,0
3.299711,76,10.379294,-100.0,0.13587053322803327,0
1.654656,66,10.515599,-100.0,-0.04027481806697675,0
0.541208,110,10.799503,-100.0,-0.02541216844464311,0
2.802818,69,10.965478,-100.0,-0.012399886988652076,0
3.684623,63,11.116288,-100.0,0.32649656073133015,0
-0.490608,86,11.361269,-100.0,-0.02342174430897487,0
3.830634,95,11.596833,-100.0,-0.04952706521518352,0
5.902803,91,11.8318,-100.0,1.5752724019106674,0
1.685355,113,12.108467,-100.0,-0.09820142867141118,0
3.349608,77,12.307223,-100.0,-0.051037565132967005,0
4.392074,123,12.637721,-100.0,1.1180642168692176,0
2.292267,81,14.528521,-100.0,-0.018436472423224062,0
4.317959,62,14.646796,-100.0,0.8722144719046372,0
1.763053,87,14.827598,-100.0,-0.043121564491857174,0
5.04362,72,15.011713,-100.0,1.130585588838756,0
2.418565,125,15.320534,-100.0,-0.04893914323651996,0
1.651815,87,15.542671,-100.0,-0.0873047437509895,0
1.736003,88,15.760528,-100.0,-0.05479323909667769,0
2.64378,102,16.020613,-100.0,-0.010868562485996963,0
-1.728633,84,16.227446,-100.0,-0.012686002695492575,0
1.685672,86,16.449127,-100.0,-0.06686636609541285,0
1.649938,72,16.629074,-100.0,-0.05046859444219303,0
3.771805,65,16.798653,-100.0,-0.04067314686478489,0
2.77901,90,18.634733,-100.0,-0.04406987390687376,0
4.90308,65,18.769412,-100.0,0.950527370174312,0
2.311312,77,18.923685,-100.0,-0.0504113245104716,0
3.211967,78,19.114973,-100.0,0.14201857033952772,0
2.749939,89,19.33337,-100.0,-0.01935741070761817,0
2.345599,145,19.703562,-100.0,0.05557306566457416,0
9.341193,81,19.914535,-100.0,4.444757586767754,0
2.127769,130,20.265595,-100.0,-0.027055363835209092,0
2.413358,115,20.544252,-100.0,0.40174744513850397,0
-0.118605,107,20.819338,-100.0,-0.04110032210582826,0
