env,method,n,solved,solved_rate,initial_mean,initial_std,best_mean,best_std,best_iteration_mean
env_001,Budget-Matched Independent,8,1,0.125,-53.27161833292563,243.72296236052904,-53.27161833292563,243.72296236052904,4.5
env_001,DERES,5,5,1.0,-2.2095541382475403,82.04105787542026,228.9792354234608,18.489814371012734,5.4
env_001,w/o HEP,5,0,0.0,-90.61583776196953,45.55135019807603,114.20961952735215,47.278193892531135,6.2
env_002,Chat + Env Card,1,0,0.0,286.8257385472024,,286.8257385472024,,1.0
env_002,Chat Direct,1,0,0.0,-59.75793625114143,,-59.75793625114143,,1.0
env_002,DERES,5,5,1.0,243.26011992826315,78.77078994667269,311.54337248268473,5.782984063029287,2.8
env_002,DeepSeek Direct,1,1,1.0,311.32626479141794,,311.32626479141794,,1.0
env_002,Direct No Env Card,1,0,0.0,286.1193696204249,,286.1193696204249,,1.0
env_002,No Expert Profile,4,1,0.25,288.89439205039986,20.500750993853828,288.89439205039986,20.500750993853828,1.0
env_005,DERES,2,0,0.0,-4.5649999999999995,10.571246378738884,708.69,998.1236480516831,4.5
