#{"t_start": 1782934791.5754523, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
1.041127,103,2.7113,-100.0,-0.005720864981412888,0
0.580815,84,2.936418,-100.0,0.0014173993840813637,0
0.759705,93,3.188365,-100.0,-0.017009150236845016,0
0.825798,97,3.455688,-100.0,0.0016951190773397684,0
0.60185,88,3.714625,-100.0,-0.01742188073694706,0
0.923298,86,3.985891,-100.0,-0.005853630602359772,0
0.963934,93,4.354793,-100.0,-0.015596285462379456,0
0.635691,124,4.721263,-100.0,-0.00987343117594719,0
1.177157,107,5.021747,-100.0,0.020245641469955444,0
0.625817,79,5.225771,-100.0,-0.004284802824258804,0
0.854613,79,7.115846,-100.0,0.004558138083666563,0
1.043116,78,7.281635,-100.0,0.0022562171798199415,0
0.304808,90,7.53349,-100.0,-0.01823952980339527,0
0.63546,71,7.726642,-100.0,-0.026353586465120316,0
0.763442,116,8.027758,-100.0,-0.00896840076893568,0
1.075658,103,8.306332,-100.0,0.0045001511462032795,0
1.154681,95,8.612435,-100.0,-0.0047403681091964245,0
0.960581,92,8.878675,-100.0,0.001302968943491578,0
0.801309,79,9.091062,-100.0,-0.001954639097675681,0
1.050456,78,9.347443,-100.0,-0.006236388348042965,0
0.759178,66,9.629246,-100.0,-0.006467039231210947,0
0.972372,69,9.84004,-100.0,-0.020196424797177315,0
0.441046,86,11.823301,-100.0,-0.018986377865076065,0
1.241621,81,11.998178,-100.0,-0.006306893657892942,0
1.152418,86,12.229213,-100.0,-0.012590361759066582,0
1.349979,97,12.488499,-100.0,0.14328062534332275,0
1.258545,69,12.676068,-100.0,-0.00097775983158499,0
0.868387,100,12.947355,-100.0,0.0001686847535893321,0
0.693468,97,13.198229,-100.0,-0.00579398637637496,0
0.626326,96,13.482014,-100.0,-0.0034769356716424227,0
1.061724,60,13.660365,-100.0,-0.0010565489064902067,0
1.327375,96,13.921554,-100.0,0.1346709281206131,0
0.944457,67,14.114464,-100.0,-0.010285722091794014,0
1.312269,65,14.292629,-100.0,-0.002865048125386238,0
0.979283,75,14.512914,-100.0,-0.014476131647825241,0
1.222706,124,16.766712,-100.0,0.0039708795957267284,0
0.794866,73,16.954564,-100.0,0.005299258511513472,0
0.690832,78,17.168787,-100.0,-0.0016951870638877153,0
1.060309,58,17.318952,-100.0,-0.006142201833426952,0
1.142937,79,17.55156,-100.0,-0.0018932137172669172,0
0.718717,71,17.735185,-100.0,-0.003397212829440832,0
