#{"t_start": 1783331594.2895815, "env_id": "Hopper-v5"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-30.603287,16,1.51091,-0.98477972358793,-3.12083321087377,0
-46.31669,12,1.537108,-1.1066834433451012,-13.64868270501652,0
-7.248807,34,1.618991,0.5387383678074257,-2.146012500624538,0
-26.428347,17,1.666222,-0.09947334767262152,-7.731982503898515,0
-52.352318,16,1.714293,-1.123654363440503,-13.345775219292129,0
-60.490071,31,1.815653,-1.2834795781193518,-6.618551948714384,0
-40.174301,19,1.88079,-0.7212038050380085,-5.025852332804364,0
-34.974922,19,1.948776,-0.700109424767044,-2.38853801630274,0
-23.269255,20,2.021377,-0.26610329429361707,-2.4694587157326437,0
-44.761598,15,2.076279,-1.1271997944847358,-5.825525512407708,0
-40.204886,24,2.164089,-0.7820542646579692,-4.4252775104876925,0
-28.290639,22,2.244016,-0.334588603625726,-1.4252271910053145,0
-38.915139,10,2.279967,-0.6000225418843419,-3.6111417621430455,0
-36.039656,10,2.315513,-0.3929734025067495,-1.0088239166006356,0
-27.210051,10,2.357673,0.0024715128266564424,-2.6378248428357,0
-24.536009,17,2.419299,-0.14674705484689887,-2.930122915390202,0
-33.325645,11,2.459083,-0.4822935605379134,-5.366149591176781,0
-43.073656,12,2.501948,-0.5977272998116125,-12.672904668907414,0
-28.360956,17,2.563487,-0.5552281327147344,-0.9368985083556117,0
-54.777416,22,2.644751,-1.3363399805109037,-8.007211908601702,0
-41.27822,10,2.680532,-0.39145342004327105,-10.462173136794618,0
-30.426644,16,2.739254,-0.3953317463292803,-5.189433404583968,0
-34.344082,15,2.79379,-0.610109077734122,-5.7269584586068705,0
-59.75475,23,2.888306,-0.1925742646318427,-11.845366209924249,0
-47.894255,21,2.971706,-0.2828097329902913,-8.024541405319148,0
-44.749894,7,2.999199,-0.4446936604487272,-14.961842713041351,0
-55.941176,26,3.102663,-1.6073376091563687,-5.262128516693576,0
-39.658123,16,3.169588,-1.3237871429753019,-5.293423405285502,0
-61.046493,25,3.713468,-1.6204257413124075,-10.592786149015085,0
-52.986718,26,3.75968,-1.0825743977139006,-4.979710856979777,0
-48.045271,12,3.781158,-1.0496767317877918,-9.000489974533263,0
-26.795972,11,3.80044,-0.42658898051871535,-1.2757203653214284,0
-49.808774,10,3.817983,-0.9542274075111267,-13.860420912194385,0
-22.209134,14,3.842408,0.11594147750522699,-1.4249016032400168,0
16.047672,34,3.902409,0.7284423822659436,0.6425900756754165,0
-58.855984,12,3.92103,-1.2830300370114383,-16.842942415377355,0
-31.220721,14,3.940849,-0.28403682353033266,-4.605105571963281,0
-35.48148,13,3.959148,-0.630629221603588,-7.97354149107972,0
-14.003804,37,4.011967,-0.08341882426927662,-1.755628672041247,0
-38.778701,20,4.040248,-0.9921251242837555,-6.062761541015554,0
-31.732272,14,4.060178,-0.15447038067304797,-5.859219260507554,0
-30.511329,11,4.075541,-0.6496861367237294,-3.408667480154167,0
-22.704979,22,4.106696,-0.20487142920066495,-7.815482820155843,0
-45.07556,12,4.123883,-0.8084057368306969,-4.939706357959685,0
-33.109671,19,4.150527,-0.6180308353395156,-4.31382435665954,0
-28.115992,14,4.170263,0.08674017675297899,-4.764383323185377,0
-22.526522,12,4.191516,0.0911372493392379,-2.9574632125796994,0
