#{"t_start": 1783078130.024812, "env_id": "LunarLander-v2"}
r,l,t,original_env_reward,generated_reward,reward_error_count
2.185706,112,1.978407,-100.0,0.02410372673217218,0
3.784035,115,2.178827,-100.0,0.0483879022172578,0
1.895437,114,2.37663,-100.0,0.020931793733476884,0
4.212438,109,2.565259,-100.0,0.10638353637488687,0
1.122653,115,2.778664,-100.0,-0.012750887225216197,0
2.037554,86,2.93243,-100.0,0.0013931351278370406,0
4.186693,128,3.157982,-100.0,0.09712764463543606,0
4.156142,92,3.333705,-100.0,0.17426026439094175,0
1.471263,69,3.440517,-100.0,-0.0063541708498795705,0
2.384177,58,3.532523,-100.0,0.05494610730679736,0
2.272838,84,5.097481,-100.0,0.01632420711551564,0
2.583713,77,5.241891,-100.0,0.038334590830438026,0
3.619078,114,5.472212,-100.0,0.05643586579038913,0
2.49807,63,5.579776,-100.0,0.05260169129592667,0
1.208361,102,5.794107,-100.0,-0.010084781263661129,0
2.868887,80,5.953162,-100.0,0.03654674142300936,0
1.081503,101,6.154193,-100.0,-0.009649625758002725,0
3.246323,118,6.385001,-100.0,0.012691475374135,0
2.921279,109,6.58709,-100.0,0.012266962172069412,0
2.502028,136,6.836992,-100.0,0.005511693863619801,0
2.69978,68,8.427986,-100.0,0.06202671089822384,0
1.577256,83,8.577644,-100.0,0.003935736041113689,0
1.265271,74,8.725173,-100.0,-0.01833017584650242,0
2.796062,100,8.920806,-100.0,0.021332711763767182,0
3.981625,96,9.109289,-100.0,0.07034274212579196,0
0.878215,124,9.334653,-100.0,-0.025275550562589642,0
1.460317,64,9.461103,-100.0,-0.0005412563099848177,0
2.705733,89,9.612093,-100.0,0.022296428413049536,0
3.590387,110,9.821723,-100.0,0.2260238033488672,0
2.500847,61,9.935827,-100.0,0.06795275580604347,0
1.067111,122,10.246624,-100.0,-0.012284615355701353,0
2.177181,96,10.433305,-100.0,0.005941172457140019,0
2.635288,99,12.098123,-100.0,0.004792118794100993,0
2.660038,68,12.223917,-100.0,0.05471159688604851,0
2.227999,92,12.394897,-100.0,0.037666551711462215,0
2.387057,86,12.558702,-100.0,0.01837255601938281,0
2.804773,93,12.735218,-100.0,0.03719525539184863,0
3.187886,93,12.914898,-100.0,0.05509951756204011,0
2.085568,117,13.150214,-100.0,0.04132161875162122,0
3.616592,66,13.282536,-100.0,0.22488717341307368,0
3.355437,121,13.526002,-100.0,0.08665297267137498,0
1.70144,88,13.696535,-100.0,-0.00439692988324598,0
2.402287,61,13.811244,-100.0,0.04877468250663121,0
2.14139,58,15.345667,-100.0,0.029115261455591054,0
3.360591,96,15.519408,-100.0,0.015838462814660417,0
3.384686,94,15.686502,-100.0,0.0738164301793066,0
1.376632,121,15.91345,-100.0,-0.009351233636565322,0
3.060185,70,16.045922,-100.0,0.047338826487728844,0
1.904744,102,16.235364,-100.0,0.03869543980110657,0
3.405624,97,16.420803,-100.0,0.045707532479008474,0
2.433339,69,16.548262,-100.0,0.028033173421215654,0
2.113086,81,16.706816,-100.0,0.01595428236738599,0
2.701288,126,16.945724,-100.0,0.014129740013537742,0
1.516765,103,17.136744,-100.0,-0.022201513164787433,0
3.656907,105,18.762939,-100.0,0.049364587433923066,0
2.380705,106,18.9644,-100.0,0.013853171329562073,0
2.051762,67,19.095259,-100.0,0.0134517127273806,0
