#{"t_start": 1782778030.8291497, "env_id": "LunarLander-v3"}
r,l,t,original_env_reward,generated_reward,reward_error_count
-42.644266,87,1.315145,-100.0,-0.49495044350624084,0
-0.287183,73,1.396849,-100.0,0.7375351786613464,0
0.146669,72,1.510299,-100.0,0.43982991576194763,0
-5.50146,66,1.587568,-100.0,0.30211198329925537,0
-2.11843,63,1.654035,-100.0,0.48096656799316406,0
-2.082515,67,1.74742,-100.0,0.6584594249725342,0
-34.004878,123,2.020171,-100.0,-0.08494046330451965,0
-32.305519,109,2.186212,-100.0,-0.08187833428382874,0
-33.64557,118,2.368004,-100.0,0.003945864737033844,0
-6.173988,66,2.552962,-100.0,0.5126920938491821,0
-5.702426,60,2.71811,-100.0,0.5483005046844482,0
-41.736885,131,4.662371,-100.0,-0.3395196199417114,0
-17.97064,96,4.835926,-100.0,0.48570650815963745,0
-34.993673,91,4.99964,-100.0,-0.33933407068252563,0
-2.031745,72,5.110662,-100.0,0.7208465337753296,0
-20.287469,92,5.255338,-100.0,-0.04031381011009216,0
-7.024551,67,5.359408,-100.0,0.40728384256362915,0
-4.335135,64,5.460099,-100.0,0.32024842500686646,0
-22.175889,97,5.602776,-100.0,0.018927164375782013,0
-2.399226,61,5.695734,-100.0,0.4046883285045624,0
-21.892906,84,5.814208,-100.0,-0.08318023383617401,0
-22.485367,76,5.930498,-100.0,-0.091780886054039,0
-10.665107,81,6.046513,-100.0,0.3444737493991852,0
-26.556748,97,6.183253,-100.0,-0.09363371133804321,0
-17.681476,83,7.573953,-100.0,0.10487411171197891,0
-8.270324,58,7.681404,-100.0,-0.07616143673658371,0
-10.03968,78,7.962026,-100.0,-0.015324663370847702,0
-9.399618,84,8.2504,-100.0,0.34025391936302185,0
-6.051065,90,8.487287,-100.0,0.7382028698921204,0
-8.267821,67,8.620552,-100.0,-0.05937733128666878,0
-11.210503,64,8.734919,-100.0,-0.07319767028093338,0
-17.93319,100,8.936823,-100.0,0.6434091925621033,0
-11.162895,77,9.094066,-100.0,0.05908976495265961,0
-11.406447,79,9.222608,-100.0,0.6480216979980469,0
-17.436272,107,9.381667,-100.0,0.43228885531425476,0
-29.291614,109,9.563988,-100.0,0.396515816450119,0
-18.40513,90,10.792516,-100.0,-0.05996905267238617,0
-21.689694,117,10.965889,-100.0,-0.07863812893629074,0
-7.62993,86,11.101696,-100.0,-0.04414981231093407,0
1.41718,69,11.199648,-100.0,0.3845609426498413,0
-16.601337,80,11.317673,-100.0,-0.020983360707759857,0
-14.169535,90,11.445456,-100.0,0.6046595573425293,0
-20.309918,91,11.576467,-100.0,-0.07014654576778412,0
-4.965951,76,11.707588,-100.0,0.4331669807434082,0
-28.684473,115,11.979537,-100.0,0.44646430015563965,0
-2.70559,69,12.125209,-100.0,0.6528447270393372,0
-23.258875,90,12.298843,-100.0,-0.10505495220422745,0
-15.453721,83,12.443668,-100.0,-0.019040320068597794,0
-30.539485,103,13.913123,-100.0,-0.08610498160123825,0
-21.232822,111,14.099396,-100.0,0.5914197564125061,0
-20.797348,95,14.268057,-100.0,0.21952641010284424,0
-5.590918,72,14.383688,-100.0,0.25281840562820435,0
-12.812461,83,14.513445,-100.0,0.09663129597902298,0
-3.579287,65,14.616804,-100.0,0.6681410670280457,0
-7.283424,67,14.735468,-100.0,0.28270983695983887,0
-12.363977,79,14.850135,-100.0,-0.1121959388256073,0
-14.487807,120,15.022716,-100.0,0.7446972131729126,0
-13.570384,77,15.134521,-100.0,-0.01720753125846386,0
-12.187256,77,15.242373,-100.0,0.4173310399055481,0
-21.808525,87,15.366346,-100.0,0.3950033485889435,0
-19.946573,88,16.542461,-100.0,-0.05239299684762955,0
-5.72113,65,16.636316,-100.0,0.4034469723701477,0
-28.084097,91,16.775036,-100.0,-0.07513166218996048,0
-2.981174,61,16.865477,-100.0,0.43846672773361206,0
-10.520749,71,16.986163,-100.0,0.22963766753673553,0
-15.991882,81,17.165631,-100.0,-0.06899286061525345,0
-6.181949,78,17.307112,-100.0,0.19451482594013214,0
-18.595906,76,17.434398,-100.0,-0.07173816859722137,0
-23.464706,101,17.603249,-100.0,0.7034428119659424,0
-33.78272,112,17.802428,-100.0,-0.02323419228196144,0
-1.247974,68,17.938752,-100.0,0.7179896235466003,0
-9.136147,67,18.183156,-100.0,0.312273234128952,0
-23.213551,90,19.970058,-100.0,-0.10417698323726654,0
-8.613273,64,20.093041,-100.0,0.5176549553871155,0
-23.491406,95,20.261947,-100.0,-0.05051899701356888,0
1.037738,61,20.390034,-100.0,0.4277583658695221,0
-1.824726,72,20.502523,-100.0,0.5626575946807861,0
-4.10013,67,20.604779,-100.0,0.20529860258102417,0
-10.789994,72,20.787951,-100.0,0.2888122797012329,0
-4.244138,65,20.922593,-100.0,0.7285993099212646,0
-1.035234,72,21.040326,-100.0,0.7490635514259338,0
-24.447433,93,21.180522,-100.0,-0.06492748111486435,0
-3.350202,59,21.273902,-100.0,0.6639798879623413,0
-3.294097,73,21.387283,-100.0,0.7364930510520935,0
-9.571658,67,21.486739,-100.0,0.16398459672927856,0
-27.624012,93,21.613093,-100.0,0.09704132378101349,0
-11.204482,60,21.692923,-100.0,-0.06971533596515656,0
-2.072158,65,22.98204,-100.0,0.3631643056869507,0
-14.527961,91,23.180009,-100.0,0.5901407599449158,0
-22.526936,88,23.331372,-100.0,0.35430052876472473,0
1.092721,66,23.444352,-100.0,0.7022782564163208,0
-2.260322,68,23.586588,-100.0,0.48143795132637024,0
-14.713672,85,23.738595,-100.0,-0.0071111381985247135,0
1.032953,59,23.860475,-100.0,0.678394079208374,0
-1.095222,64,23.987334,-100.0,0.6975423693656921,0
-16.573284,94,24.150052,-100.0,0.5812811851501465,0
1.103508,59,24.248939,-100.0,0.6207795739173889,0
-14.871258,93,24.407022,-100.0,0.08206655085086823,0
-4.57085,72,24.533083,-100.0,0.3480536639690399,0
-2.091125,68,24.662435,-100.0,0.6673281192779541,0
-19.942721,92,25.921092,-100.0,-0.014153338968753815,0
-9.400231,78,26.034869,-100.0,0.6759750247001648,0
-0.975593,73,26.144259,-100.0,0.4578472673892975,0
-7.91757,72,26.249104,-100.0,-0.009527841582894325,0
-0.757463,58,26.335647,-100.0,0.44024887681007385,0
-25.206276,99,26.489842,-100.0,-0.027014924213290215,0
0.849949,64,26.594988,-100.0,0.43767642974853516,0
2.798979,63,26.684439,-100.0,0.7091589570045471,0
-15.197872,85,26.80014,-100.0,-0.03409671410918236,0
-12.798834,96,26.92861,-100.0,-0.06498508155345917,0
1.068169,59,27.017812,-100.0,0.6645541787147522,0
-11.737976,76,27.124036,-100.0,-0.010725041851401329,0
-11.282423,85,27.245976,-100.0,0.602367639541626,0
-14.681218,102,29.073585,-100.0,0.43556076288223267,0
-0.760302,65,29.199101,-100.0,0.6355196237564087,0
-7.204704,65,29.309172,-100.0,0.5590898394584656,0
1.694232,64,29.409685,-100.0,0.7391785383224487,0
-5.827379,62,29.568842,-100.0,0.24465849995613098,0
-15.040842,83,29.81184,-100.0,0.3592812418937683,0
-11.799797,86,30.031671,-100.0,0.5727049708366394,0
-11.900296,95,30.207828,-100.0,0.7394379377365112,0
-22.373444,94,30.39219,-100.0,0.3517809212207794,0
-11.218165,98,30.555791,-100.0,0.27050459384918213,0
0.018462,55,30.644099,-100.0,0.6807281970977783,0
-7.716108,61,30.738285,-100.0,0.158192440867424,0
-12.721741,70,30.839301,-100.0,-0.025316786020994186,0
-7.094479,91,30.969854,-100.0,0.6931171417236328,0
-5.755088,70,32.226871,-100.0,0.3386218547821045,0
0.912301,56,32.309463,-100.0,0.42354753613471985,0
-0.943488,66,32.407061,-100.0,0.2644125819206238,0
-15.396208,100,32.549649,-100.0,0.582238495349884,0
-20.435411,92,32.711123,-100.0,0.23878967761993408,0
-22.220844,91,32.904913,-100.0,-0.07472462207078934,0
-10.709389,95,33.075155,-100.0,0.5136834979057312,0
-3.260822,56,33.288154,-100.0,0.7148844599723816,0
1.588011,63,33.425036,-100.0,0.675128698348999,0
